code,descripcion, price 
PCO005003,Rasurador BIC Shaver Classic BO 5/1, 73.09 
PCO006003,Rasurador BIC Comfort 2 BO 5/1, 98.52 
PCO006007,Rasurador BIC Twin Lady EXH 6/1, 50.00 
PCO007005,Rasurador BIC Comfort 3 Black Night BL 2/1, 75.13 
PCO007001,Rasurador BIC Comfort 3 Sensible BL 2/1, 50.85 
PCO007009,Rasurador BIC Flex 3 BL 2/1, 108.05 
PCO007014,Rasurador BIC Twin Lady BO 3/1, 44.61 
PCO010001,Bolígrafo BIC Cristal Dura + Azul CJ 12/1, 155.19 
PCO010002,Bolígrafo BIC Cristal Dura + Negro CJ 12/1, 155.19 
PCO010004,Bolígrafo BIC Cristal Dura + Rojo CJ 12/1, 155.19 
PCO010024,Bolígrafo BIC Cristal Fashion Lima CJ 12/1, 155.19 
PCO010025,Bolígrafo BIC Cristal Fashion Morado CJ 12/1, 155.19 
PCO010017,Bolígrafo BIC Cristal Fashion Surtido EXH 15/1 Imagen Vieja, 248.31 
PCO010010,Bolígrafo BIC Cristal Up Surtido CJ 12/1, 191.40 
PCO011001,Bolígrafo BIC Round Stic Azul CJ 12/1, 133.32 
PCO011002,Bolígrafo BIC Round Stic Negro CJ 12/1, 133.32 
PCO011003,Bolígrafo BIC Round Stic Rojo CJ 12/1, 133.32 
PCO011018,Bolígrafo BIC Round Stic Surtido BO 10/1, 84.19 
PCO013006,Bolígrafo BIC 4 Color Brillo 1/1, 140.00 
PCO013011,Bolígrafo BIC 4 Color Decor 1/1, 105.30 
PCO013002,Bolígrafo BIC 4 Color Fashion BL 1/1, 103.46 
PCO013009,Bolígrafo BIC 4 Color Fino 1/1, 97.50 
PCO013007,Bolígrafo BIC 4 Color Fun 1/1, 105.00 
PCO013010,Bolígrafo BIC 4 Color Gradient 1/1, 133.65 
PCO013001,Bolígrafo BIC 4 Color Original BL 1/1, 80.00 
PCO013008,Bolígrafo BIC 4 Color Rose Gold 1/1, 129.60 
PCO015025,Lápices colores evolution 4MM 24/1, 236.92 
PCO015003,Lápices de colores BIC Evolution Bicolor CJ 12/1, 207.83 
PCO015014,Lápices de colores BIC Evolution CJ 24/1 + 4 UN Lápiz de Grafito GRATIS, 236.92 
PCO015032,Plumones BIC Kids Jumbo CJ 12/1, 303.05 
PCO015028,Plumones lavables 12/1, 203.85 
PCO019027,Lápiz de grafito BIC Evolution Verde CJ 12/1, 61.10 
PCO019046,Lápiz de grafito BIC Evolution Xtra Fun BL 4/1 + 1 Bolígrafo Cristal UP, 72.75 
PCO020011,Resaltador BIC Amarillo BL 2/1 Imagen Vieja, 98.63 
PCO023002,Pluma Correctora BIC Shake'n Squeeze BL 1/1 + 1 Bolígrafo Gratis, 92.99 
PCO027003,Cuaderno Cosido  Ibook de Tarea Grande Rayado C/ Imagen 144 págs., 36.76 
PCO027007,Cuaderno Cosido  Ibook de Tarea Grande Rayado C/ Imagen 200 págs., 46.02 
PCO027004,Cuaderno Cosido  Ibook de Tarea Grande Rayado S/ Imagen 144 págs., 36.66 
PCO027008,Cuaderno Cosido  Ibook de Tarea Grande Rayado S/ Imagen 200 págs., 44.69 
PCO027001,Cuaderno Cosido  Vivo de Tarea Grande Rayado C/ Imagen 144 págs., 38.07 
PCO027005,Cuaderno Cosido  Vivo de Tarea Grande Rayado C/ Imagen 200 págs., 49.12 
PCO027002,Cuaderno Cosido  Vivo de Tarea Grande Rayado S/ Imagen 144 págs., 35.38 
PCO027006,Cuaderno Cosido  Vivo de Tarea Grande Rayado S/ Imagen 200 págs., 48.81 
PCO028003,Cuaderno Grapado Ibook de Tarea Pequeño Rayado C/ Imagen 100 págs., 13.90 
PCO028001,Cuaderno Grapado Ibook de Tarea Pequeño Rayado C/ Imagen 80 págs., 12.48 
PCO028004,Cuaderno Grapado Ibook de Tarea Pequeño Rayado S/ Imagen 100 págs., 13.91 
PCO028002,Cuaderno Grapado Ibook de Tarea Pequeño Rayado S/ Imagen 80 págs., 12.50 
PCO028006,Libreta Rayada Amarilla 5x8, 18.65 
PCO028008,Libreta Rayada Amarilla 8 1/2 x 11, 34.94 
PCO028005,Libreta Rayada Blanca 5x8, 17.36 
PCO028007,Libreta Rayada Blanca 8 1/2 x 11, 32.08 
PCO029004,Cuaderno Espiral Quest 1 Materia Tapa Dura C/Imagen, 196.12 
PCO029003,Cuaderno Espiral Quest 3 Materias Tapa Dura 240 págs, 175.14 
PCO029005,Cuaderno Espiral Quest 4 Materias Tapa Dura C/Imagen, 249.73 
PCO029002,Cuaderno Espiral Quest 5 Materias Tapa Dura 300 págs, 153.57 
PCO031019,Acondicionador OGX Biotin & Collagen 19.5oz., 271.05 
PCO031005,Champú OGX Charcoal Detox 13oz., 302.93 
PCO031016,Champú OGX Coconut Curls 13oz., 271.05 
PCO031004,Champú OGX Pracaxi Oil 13oz., 302.93 
PCO032019,Acondicionador OGX Argan Oil Morocco XS 13oz., 291.90 
PCO032015,Acondicionador OGX Biotin & Collagen 13oz., 271.05 
PCO032005,Acondicionador OGX Charcoal Detox 13oz., 299.99 
PCO032017,Acondicionador OGX Coconut Curls 13oz., 271.05 
PCO032012,Acondicionador OGX Keratin Oil 13oz., 272.88 
PCO032004,Acondicionador OGX Pracaxi Oil 13oz., 302.93 
PCO032020,Champú OGX Biotin & Collagen 19.5oz., 271.05 
PCO036003,Fix Strong BIC BL 1/1, 40.04 
CHB000002,Chocolate en Barras 30/1, 237.14 
COD000006,Cocoa Dulce Tarros 1/2lb, 94.38 